epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1001.15,0.82949,0.88831,0.99677,0.32079,0.067189,0.000491622,0.000491622
2,1938.41,0.39705,0.92702,0.99778,0.23044,0.0342504,0.000886311,0.000886311
3,2869.66,0.3176,0.94617,0.99919,0.16685,0.00121429,0.00118357,0.00118357
4,3801.53,0.2523,0.94315,0.9994,0.16452,0.00103779,0.00103779,0.00103779
5,4730.64,0.18506,0.96069,0.9994,0.11483,0.000891641,0.000891641,0.000891641
6,5657.01,0.15422,0.96149,0.9996,0.10684,0.000745494,0.000745494,0.000745494
7,6582.35,0.12577,0.97036,0.9998,0.09212,0.000599348,0.000599348,0.000599348
8,7507.57,0.10014,0.97177,0.9996,0.0909,0.000453202,0.000453202,0.000453202
9,8432.52,0.08762,0.97419,0.9998,0.08255,0.000307055,0.000307055,0.000307055
10,9357.46,0.07153,0.97681,0.9998,0.07464,0.000160909,0.000160909,0.000160909
