epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,859.132,0.89161,0.89008,0.99675,0.31605,0.0670902,0.00037266,0.00037266
2,1707.57,0.34391,0.91215,0.99884,0.25948,0.0341153,0.000731121,0.000731121
3,2555.56,0.28032,0.93842,0.99721,0.18848,0.00112569,0.0010748,0.0010748
4,3401.05,0.22517,0.94725,0.99791,0.16802,0.00105318,0.00105318,0.00105318
5,4245.79,0.18292,0.94841,0.99791,0.15654,0.00103101,0.00103101,0.00103101
6,5090.59,0.1576,0.95468,0.99977,0.1328,0.00100884,0.00100884,0.00100884
7,5934.45,0.1449,0.96258,0.99884,0.12247,0.000986669,0.000986669,0.000986669
8,6781.65,0.12431,0.96119,0.99884,0.13005,0.0009645,0.0009645,0.0009645
9,7627.12,0.11949,0.96305,0.99907,0.12637,0.00094233,0.00094233,0.00094233
10,8474.88,0.11284,0.96189,0.99907,0.11975,0.00092016,0.00092016,0.00092016
11,9319.72,0.10606,0.96468,0.9993,0.1206,0.00089799,0.00089799,0.00089799
12,10163,0.10222,0.9663,0.99884,0.11891,0.00087582,0.00087582,0.00087582
13,11005.4,0.09564,0.96421,0.99884,0.12839,0.000853651,0.000853651,0.000853651
14,11848.3,0.08799,0.96746,0.99907,0.11435,0.000831481,0.000831481,0.000831481
15,12689.5,0.08918,0.96305,0.99907,0.12314,0.000809311,0.000809311,0.000809311
16,13531.4,0.07646,0.96793,0.9993,0.11192,0.000787141,0.000787141,0.000787141
17,14371.7,0.07635,0.96584,0.99954,0.12333,0.000764971,0.000764971,0.000764971
18,15214.6,0.07679,0.96886,0.9993,0.10891,0.000742801,0.000742801,0.000742801
19,16054.5,0.07113,0.97188,0.99884,0.1067,0.000720632,0.000720632,0.000720632
20,16895.8,0.07338,0.97142,0.99977,0.10487,0.000698462,0.000698462,0.000698462
21,17735.6,0.06263,0.97142,0.9993,0.11322,0.000676292,0.000676292,0.000676292
22,18575.8,0.05966,0.97165,0.99884,0.10697,0.000654122,0.000654122,0.000654122
23,19413.6,0.0561,0.96909,0.99954,0.11175,0.000631952,0.000631952,0.000631952
24,20250.4,0.05276,0.97281,0.99954,0.10213,0.000609782,0.000609782,0.000609782
25,21089.4,0.05568,0.97258,0.99954,0.11039,0.000587613,0.000587613,0.000587613
26,21927.2,0.05082,0.97165,0.99907,0.11472,0.000565443,0.000565443,0.000565443
27,22764.6,0.04328,0.97002,0.99861,0.12719,0.000543273,0.000543273,0.000543273
28,23602.8,0.04889,0.96909,0.99954,0.11885,0.000521103,0.000521103,0.000521103
29,24442.9,0.04305,0.97049,0.99884,0.13147,0.000498933,0.000498933,0.000498933
30,25282.4,0.04255,0.97606,0.99954,0.11961,0.000476763,0.000476763,0.000476763
31,26124.3,0.03816,0.97351,0.99954,0.11844,0.000454594,0.000454594,0.000454594
32,26961.3,0.03265,0.97188,0.9993,0.13045,0.000432424,0.000432424,0.000432424
33,27797.8,0.03438,0.97188,0.99907,0.12591,0.000410254,0.000410254,0.000410254
34,28634.1,0.03786,0.97072,0.99907,0.12091,0.000388084,0.000388084,0.000388084
35,29470.3,0.03255,0.97304,0.99907,0.11186,0.000365914,0.000365914,0.000365914
36,30307.2,0.02639,0.97513,0.99907,0.11101,0.000343744,0.000343744,0.000343744
37,31145.7,0.02678,0.97397,0.99907,0.12545,0.000321575,0.000321575,0.000321575
38,31983.5,0.0303,0.97444,0.99907,0.11924,0.000299405,0.000299405,0.000299405
39,32821.1,0.02397,0.9742,0.99884,0.12092,0.000277235,0.000277235,0.000277235
40,33659.3,0.02721,0.97304,0.99907,0.12853,0.000255065,0.000255065,0.000255065
41,34552.5,0.02153,0.97374,0.9993,0.12232,0.000232895,0.000232895,0.000232895
42,35389.7,0.02341,0.97327,0.99907,0.12747,0.000210725,0.000210725,0.000210725
43,36227.7,0.01963,0.97327,0.99907,0.12698,0.000188556,0.000188556,0.000188556
44,37069.7,0.01607,0.97304,0.99907,0.13338,0.000166386,0.000166386,0.000166386
45,37907.8,0.01711,0.97327,0.99907,0.13428,0.000144216,0.000144216,0.000144216
46,38746.9,0.01407,0.97327,0.99861,0.1326,0.000122046,0.000122046,0.000122046
47,39592.9,0.01559,0.97304,0.99861,0.13716,9.98762e-05,9.98762e-05,9.98762e-05
48,43802.3,0.01146,0.97304,0.99884,0.13728,7.77064e-05,7.77064e-05,7.77064e-05
49,44654.4,0.01436,0.97327,0.99884,0.13925,5.55365e-05,5.55365e-05,5.55365e-05
50,45502.4,0.01318,0.97397,0.99907,0.13942,3.33667e-05,3.33667e-05,3.33667e-05
